y1(0.5),k1,k2
4.293586315645139644e-03,1.496000000000000000e+03,1.001000000000000000e+03
4.410257495102413820e-03,1.099000000000000000e+03,1.242000000000000000e+03
3.876055454236921726e-03,1.286000000000000000e+03,1.390000000000000000e+03
4.584017033911548175e-03,1.134000000000000000e+03,1.106000000000000000e+03
3.940427427566416986e-03,1.248000000000000000e+03,1.385000000000000000e+03
3.890532416675300097e-03,1.219000000000000000e+03,1.465000000000000000e+03
4.174657222931159664e-03,1.088000000000000000e+03,1.429000000000000000e+03
4.118111770561387955e-03,1.110000000000000000e+03,1.439000000000000000e+03
4.758959925635198804e-03,1.030000000000000000e+03,1.128000000000000000e+03
4.577480927551704805e-03,1.089000000000000000e+03,1.156000000000000000e+03
4.549272417051249476e-03,1.054000000000000000e+03,1.215000000000000000e+03
4.203335421835764987e-03,1.354000000000000000e+03,1.121000000000000000e+03
4.173137031688192375e-03,1.087000000000000000e+03,1.432000000000000000e+03
4.211171807842030781e-03,1.341000000000000000e+03,1.126000000000000000e+03
4.040581294516659878e-03,1.313000000000000000e+03,1.246000000000000000e+03
4.197435897435897525e-03,1.500000000000000000e+03,1.040000000000000000e+03
3.973465061432179465e-03,1.312000000000000000e+03,1.291000000000000000e+03
4.002422902570287010e-03,1.232000000000000000e+03,1.357000000000000000e+03
4.214089974413455161e-03,1.121000000000000000e+03,1.346000000000000000e+03
4.208090842361207097e-03,1.405000000000000000e+03,1.086000000000000000e+03
4.386469386019349777e-03,1.073000000000000000e+03,1.293000000000000000e+03
4.200519110186848142e-03,1.491000000000000000e+03,1.043000000000000000e+03
4.191803723912007618e-03,1.139000000000000000e+03,1.337000000000000000e+03
4.526924727939299863e-03,1.065000000000000000e+03,1.214000000000000000e+03
3.577198562652796499e-03,1.457000000000000000e+03,1.452000000000000000e+03
4.302164513503276173e-03,1.486000000000000000e+03,1.002000000000000000e+03
4.066495198902606023e-03,1.458000000000000000e+03,1.125000000000000000e+03
3.631717580499689568e-03,1.416000000000000000e+03,1.447000000000000000e+03
3.991604088443887789e-03,1.275000000000000000e+03,1.316000000000000000e+03
4.975717995289042316e-03,1.002000000000000000e+03,1.055000000000000000e+03
4.412386729525908345e-03,1.085000000000000000e+03,1.259000000000000000e+03
3.745580946133100341e-03,1.345000000000000000e+03,1.428000000000000000e+03
3.788410587827465391e-03,1.484000000000000000e+03,1.270000000000000000e+03
4.265591084263007163e-03,1.256000000000000000e+03,1.163000000000000000e+03
4.510294643379962783e-03,1.163000000000000000e+03,1.116000000000000000e+03
4.471214868540344944e-03,1.200000000000000000e+03,1.103000000000000000e+03
3.714147120313887867e-03,1.442000000000000000e+03,1.356000000000000000e+03
4.859710503232552575e-03,1.102000000000000000e+03,1.009000000000000000e+03
3.738682490740957102e-03,1.381000000000000000e+03,1.395000000000000000e+03
4.245342477460154786e-03,1.076000000000000000e+03,1.392000000000000000e+03
4.380472716453974978e-03,1.049000000000000000e+03,1.334000000000000000e+03
4.683795599198944948e-03,1.069000000000000000e+03,1.122000000000000000e+03
4.163312787985516857e-03,1.314000000000000000e+03,1.172000000000000000e+03
4.124949027703442989e-03,1.189000000000000000e+03,1.320000000000000000e+03
4.233355656710104976e-03,1.137000000000000000e+03,1.310000000000000000e+03
4.182231701054179782e-03,1.376000000000000000e+03,1.117000000000000000e+03
4.055997844784176194e-03,1.273000000000000000e+03,1.274000000000000000e+03
4.018853215364440006e-03,1.490000000000000000e+03,1.131000000000000000e+03
4.510183142140008171e-03,1.049000000000000000e+03,1.246000000000000000e+03
3.787771830692487560e-03,1.462000000000000000e+03,1.287000000000000000e+03
3.757558780926805678e-03,1.405000000000000000e+03,1.357000000000000000e+03
3.596747168755144806e-03,1.483000000000000000e+03,1.411000000000000000e+03
4.488498305518255280e-03,1.203000000000000000e+03,1.092000000000000000e+03
4.264212159495233724e-03,1.426000000000000000e+03,1.048000000000000000e+03
3.923142466743766155e-03,1.233000000000000000e+03,1.418000000000000000e+03
3.999626263121525485e-03,1.339000000000000000e+03,1.249000000000000000e+03
4.492407733592273210e-03,1.018000000000000000e+03,1.305000000000000000e+03
3.667300049677098880e-03,1.500000000000000000e+03,1.342000000000000000e+03
4.747834406671543918e-03,1.034000000000000000e+03,1.129000000000000000e+03
3.697282842060064124e-03,1.494000000000000000e+03,1.325000000000000000e+03
4.379672392372926937e-03,1.089000000000000000e+03,1.275000000000000000e+03
3.804282429638334000e-03,1.321000000000000000e+03,1.407000000000000000e+03
4.832460522649231413e-03,1.041000000000000000e+03,1.079000000000000000e+03
4.369718872750525361e-03,1.068000000000000000e+03,1.312000000000000000e+03
4.650503533929811230e-03,1.194000000000000000e+03,1.025000000000000000e+03
3.672241292699263832e-03,1.344000000000000000e+03,1.493000000000000000e+03
3.830893827188805445e-03,1.397000000000000000e+03,1.311000000000000000e+03
3.762712149931828759e-03,1.318000000000000000e+03,1.445000000000000000e+03
4.349782743637492684e-03,1.008000000000000000e+03,1.432000000000000000e+03
3.770732479031876395e-03,1.459000000000000000e+03,1.301000000000000000e+03
4.258999648150591649e-03,1.078000000000000000e+03,1.378000000000000000e+03
4.571524905455996192e-03,1.157000000000000000e+03,1.091000000000000000e+03
4.765521441236722500e-03,1.156000000000000000e+03,1.005000000000000000e+03
3.920552216427367238e-03,1.247000000000000000e+03,1.402000000000000000e+03
4.790960271093276657e-03,1.006000000000000000e+03,1.141000000000000000e+03
4.252571813580490433e-03,1.383000000000000000e+03,1.078000000000000000e+03
4.266669063368804839e-03,1.159000000000000000e+03,1.260000000000000000e+03
4.270187621015504587e-03,1.077000000000000000e+03,1.371000000000000000e+03
4.340916148395332699e-03,1.069000000000000000e+03,1.331000000000000000e+03
4.231494720776751359e-03,1.494000000000000000e+03,1.028000000000000000e+03
4.542236443416368570e-03,1.026000000000000000e+03,1.259000000000000000e+03
4.306232821212965800e-03,1.314000000000000000e+03,1.097000000000000000e+03
4.396382676021851239e-03,1.067000000000000000e+03,1.295000000000000000e+03
4.252713632336305692e-03,1.018000000000000000e+03,1.496000000000000000e+03
3.923693427224413631e-03,1.431000000000000000e+03,1.223000000000000000e+03
4.440354684919303220e-03,1.033000000000000000e+03,1.317000000000000000e+03
4.085070904939310660e-03,1.272000000000000000e+03,1.256000000000000000e+03
4.426162770227448640e-03,1.056000000000000000e+03,1.291000000000000000e+03
4.246221796509152581e-03,1.134000000000000000e+03,1.305000000000000000e+03
4.207200317244504453e-03,1.050000000000000000e+03,1.471000000000000000e+03
4.065534349289681368e-03,1.115000000000000000e+03,1.476000000000000000e+03
4.315712364139695154e-03,1.459000000000000000e+03,1.009000000000000000e+03
4.155510514602353198e-03,1.230000000000000000e+03,1.253000000000000000e+03
4.245368786846617608e-03,1.197000000000000000e+03,1.231000000000000000e+03
3.978673845508671168e-03,1.351000000000000000e+03,1.252000000000000000e+03
3.960906596687955271e-03,1.362000000000000000e+03,1.254000000000000000e+03
4.118973981017186488e-03,1.211000000000000000e+03,1.298000000000000000e+03
4.751921115927714573e-03,1.139000000000000000e+03,1.024000000000000000e+03
3.787929483911171760e-03,1.280000000000000000e+03,1.471000000000000000e+03
4.462419952814290595e-03,1.104000000000000000e+03,1.204000000000000000e+03
3.886624869383490527e-03,1.232000000000000000e+03,1.450000000000000000e+03
4.303298345710570086e-03,1.132000000000000000e+03,1.269000000000000000e+03
4.312772310852674637e-03,1.059000000000000000e+03,1.368000000000000000e+03
4.312014994403102694e-03,1.426000000000000000e+03,1.027000000000000000e+03
4.418754009130868368e-03,1.277000000000000000e+03,1.069000000000000000e+03
4.842629320622978892e-03,1.101000000000000000e+03,1.017000000000000000e+03
3.796956795405463918e-03,1.394000000000000000e+03,1.338000000000000000e+03
4.160317206592782126e-03,1.071000000000000000e+03,1.472000000000000000e+03
4.521351242983159477e-03,1.015000000000000000e+03,1.290000000000000000e+03
4.120990054242879008e-03,1.379000000000000000e+03,1.147000000000000000e+03
4.370771001573922274e-03,1.333000000000000000e+03,1.054000000000000000e+03
4.246438337713608763e-03,1.205000000000000000e+03,1.222000000000000000e+03
4.834606030393666723e-03,1.122000000000000000e+03,1.003000000000000000e+03
3.837694419782315680e-03,1.395000000000000000e+03,1.308000000000000000e+03
4.548261365899291392e-03,1.293000000000000000e+03,1.002000000000000000e+03
4.173387096774193450e-03,1.302000000000000000e+03,1.176000000000000000e+03
4.027889053811684050e-03,1.414000000000000000e+03,1.174000000000000000e+03
4.160038758278246200e-03,1.234000000000000000e+03,1.246000000000000000e+03
3.867405447035405629e-03,1.374000000000000000e+03,1.306000000000000000e+03
4.702184768671222904e-03,1.079000000000000000e+03,1.102000000000000000e+03
4.414434411999349633e-03,1.255000000000000000e+03,1.087000000000000000e+03
4.214396463945200427e-03,1.365000000000000000e+03,1.108000000000000000e+03
3.622302994260410969e-03,1.381000000000000000e+03,1.494000000000000000e+03
4.564724573176461193e-03,1.163000000000000000e+03,1.089000000000000000e+03
4.168940506403196605e-03,1.457000000000000000e+03,1.075000000000000000e+03
4.045436385861674554e-03,1.390000000000000000e+03,1.181000000000000000e+03
4.222256881165754698e-03,1.081000000000000000e+03,1.402000000000000000e+03
4.286731889204054360e-03,1.238000000000000000e+03,1.167000000000000000e+03
4.258732983207794143e-03,1.015000000000000000e+03,1.497000000000000000e+03
4.430567867036011402e-03,1.250000000000000000e+03,1.083000000000000000e+03
3.873216884681686487e-03,1.312000000000000000e+03,1.363000000000000000e+03
4.137828326734513222e-03,1.091000000000000000e+03,1.455000000000000000e+03
4.007465727159429010e-03,1.368000000000000000e+03,1.220000000000000000e+03
4.064814814814815373e-03,1.200000000000000000e+03,1.350000000000000000e+03
4.023740310077519693e-03,1.204000000000000000e+03,1.376000000000000000e+03
4.521807040343250525e-03,1.186000000000000000e+03,1.090000000000000000e+03
4.624781068386274625e-03,1.113000000000000000e+03,1.106000000000000000e+03
4.423223425342445725e-03,1.186000000000000000e+03,1.140000000000000000e+03
4.294219995098341562e-03,1.082000000000000000e+03,1.345000000000000000e+03
4.295274285493064920e-03,1.111000000000000000e+03,1.302000000000000000e+03
4.395918219522893314e-03,1.139000000000000000e+03,1.203000000000000000e+03
4.705459770114942680e-03,1.015000000000000000e+03,1.176000000000000000e+03
4.244718923568656203e-03,1.053000000000000000e+03,1.433000000000000000e+03
3.975807704255980395e-03,1.160000000000000000e+03,1.480000000000000000e+03
4.373861946526660591e-03,1.162000000000000000e+03,1.191000000000000000e+03
4.238110610717436486e-03,1.088000000000000000e+03,1.378000000000000000e+03
4.244395097334313117e-03,1.331000000000000000e+03,1.116000000000000000e+03
4.240668388587371003e-03,1.025000000000000000e+03,1.492000000000000000e+03
3.572982270666320240e-03,1.499000000000000000e+03,1.416000000000000000e+03
4.517045454545455009e-03,1.232000000000000000e+03,1.056000000000000000e+03
4.577922077922078406e-03,1.029000000000000000e+03,1.232000000000000000e+03
4.128817204404231292e-03,1.289000000000000000e+03,1.213000000000000000e+03
4.278356059838421196e-03,1.241000000000000000e+03,1.169000000000000000e+03
3.725875986872427548e-03,1.431000000000000000e+03,1.357000000000000000e+03
4.771737331433587893e-03,1.007000000000000000e+03,1.150000000000000000e+03
3.614345915741148853e-03,1.462000000000000000e+03,1.416000000000000000e+03
4.722804560629207705e-03,1.096000000000000000e+03,1.075000000000000000e+03
3.844721502590673669e-03,1.344000000000000000e+03,1.351000000000000000e+03
3.885279791235211628e-03,1.216000000000000000e+03,1.474000000000000000e+03
4.106267095245561688e-03,1.444000000000000000e+03,1.113000000000000000e+03
4.863995020354884742e-03,1.014000000000000000e+03,1.094000000000000000e+03
4.314981154468587078e-03,1.061000000000000000e+03,1.363000000000000000e+03
4.237982199859329988e-03,1.220000000000000000e+03,1.212000000000000000e+03
4.214434416126155644e-03,1.333000000000000000e+03,1.130000000000000000e+03
4.318771480557989130e-03,1.136000000000000000e+03,1.254000000000000000e+03
4.422273387553100725e-03,1.361000000000000000e+03,1.015000000000000000e+03
3.878760723939358741e-03,1.407000000000000000e+03,1.270000000000000000e+03
4.443860344503264455e-03,1.122000000000000000e+03,1.194000000000000000e+03
4.473838512988586452e-03,1.223000000000000000e+03,1.083000000000000000e+03
3.725026634595319207e-03,1.364000000000000000e+03,1.424000000000000000e+03
4.244237896687514701e-03,1.439000000000000000e+03,1.050000000000000000e+03
4.280929363237947691e-03,1.125000000000000000e+03,1.293000000000000000e+03
4.042710235410628197e-03,1.135000000000000000e+03,1.462000000000000000e+03
4.492486338797813984e-03,1.275000000000000000e+03,1.037000000000000000e+03
4.400256849628346803e-03,1.179000000000000000e+03,1.159000000000000000e+03
4.323807836905863879e-03,1.009000000000000000e+03,1.452000000000000000e+03
4.470140904805613297e-03,1.030000000000000000e+03,1.301000000000000000e+03
4.481350271116328436e-03,1.005000000000000000e+03,1.335000000000000000e+03
4.128238229495469723e-03,1.192000000000000000e+03,1.314000000000000000e+03
4.754415383691965036e-03,1.015000000000000000e+03,1.149000000000000000e+03
4.346388774078147575e-03,1.366000000000000000e+03,1.045000000000000000e+03
4.184824218345851998e-03,1.086000000000000000e+03,1.424000000000000000e+03
3.885719149496991327e-03,1.339000000000000000e+03,1.326000000000000000e+03
3.781762493614473225e-03,1.490000000000000000e+03,1.270000000000000000e+03
4.289861852838568711e-03,1.431000000000000000e+03,1.034000000000000000e+03
4.458656826457223048e-03,1.140000000000000000e+03,1.166000000000000000e+03
4.570654570654570856e-03,1.040000000000000000e+03,1.221000000000000000e+03
4.831221007289595269e-03,1.006000000000000000e+03,1.120000000000000000e+03
4.589997922725384122e-03,1.245000000000000000e+03,1.015000000000000000e+03
3.872110533192904113e-03,1.348000000000000000e+03,1.327000000000000000e+03
4.043966678704795023e-03,1.401000000000000000e+03,1.174000000000000000e+03
4.122531327808870785e-03,1.115000000000000000e+03,1.427000000000000000e+03
3.690462285504334406e-03,1.473000000000000000e+03,1.347000000000000000e+03
4.834606030393666723e-03,1.122000000000000000e+03,1.003000000000000000e+03
4.331121025189101949e-03,1.335000000000000000e+03,1.071000000000000000e+03
3.902232351566152328e-03,1.240000000000000000e+03,1.426000000000000000e+03
