y1(0.5),k1,k2
1.555074515134304924e+01,1.213000000000000000e+03,1.402000000000000000e+03
1.535304329616288399e+01,1.310000000000000000e+03,1.225000000000000000e+03
1.531839022638428993e+01,1.186000000000000000e+03,1.344000000000000000e+03
1.457765871330659913e+01,1.056000000000000000e+03,1.228000000000000000e+03
1.520563076656920209e+01,1.070000000000000000e+03,1.476000000000000000e+03
1.566084705551740086e+01,1.245000000000000000e+03,1.405000000000000000e+03
1.550040848666686166e+01,1.467000000000000000e+03,1.154000000000000000e+03
1.612220821165412588e+01,1.384000000000000000e+03,1.424000000000000000e+03
1.506946460457190184e+01,1.056000000000000000e+03,1.437000000000000000e+03
1.509378544583109516e+01,1.399000000000000000e+03,1.084000000000000000e+03
1.441687568808219311e+01,1.116000000000000000e+03,1.103000000000000000e+03
1.423408271166931094e+01,1.064000000000000000e+03,1.097000000000000000e+03
1.517102019140947178e+01,1.204000000000000000e+03,1.267000000000000000e+03
1.643395280889387422e+01,1.432000000000000000e+03,1.493000000000000000e+03
1.500739597644255241e+01,1.401000000000000000e+03,1.060000000000000000e+03
1.587544924270609314e+01,1.470000000000000000e+03,1.263000000000000000e+03
1.481594856376520397e+01,1.191000000000000000e+03,1.159000000000000000e+03
1.423116992145158299e+01,1.156000000000000000e+03,1.013000000000000000e+03
1.547446822405522582e+01,1.449000000000000000e+03,1.158000000000000000e+03
1.550298900182836448e+01,1.483000000000000000e+03,1.145000000000000000e+03
1.538957702126348082e+01,1.358000000000000000e+03,1.197000000000000000e+03
1.475831135999593791e+01,1.029000000000000000e+03,1.343000000000000000e+03
1.629863724500373223e+01,1.409000000000000000e+03,1.465000000000000000e+03
1.471157691404727430e+01,1.064000000000000000e+03,1.269000000000000000e+03
1.582697749210120008e+01,1.256000000000000000e+03,1.459000000000000000e+03
1.552684062506478746e+01,1.484000000000000000e+03,1.151000000000000000e+03
1.493147200280506759e+01,1.228000000000000000e+03,1.162000000000000000e+03
1.454722714001269779e+01,1.013000000000000000e+03,1.279000000000000000e+03
1.506667319750208733e+01,1.432000000000000000e+03,1.058000000000000000e+03
1.506464483977111257e+01,1.422000000000000000e+03,1.063000000000000000e+03
1.520867582711610488e+01,1.362000000000000000e+03,1.140000000000000000e+03
1.446220961941784111e+01,1.155000000000000000e+03,1.081000000000000000e+03
1.443785842076907855e+01,1.202000000000000000e+03,1.036000000000000000e+03
1.535072626546029717e+01,1.171000000000000000e+03,1.377000000000000000e+03
1.463470124046016174e+01,1.158000000000000000e+03,1.132000000000000000e+03
1.522836962075740885e+01,1.197000000000000000e+03,1.296000000000000000e+03
1.438865604578779767e+01,1.197000000000000000e+03,1.026000000000000000e+03
1.413981019688634966e+01,1.078000000000000000e+03,1.053000000000000000e+03
1.496311359636229987e+01,1.210000000000000000e+03,1.189000000000000000e+03
1.493380057754963275e+01,1.017000000000000000e+03,1.447000000000000000e+03
1.501935800603221871e+01,1.463000000000000000e+03,1.030000000000000000e+03
1.641875594147776951e+01,1.457000000000000000e+03,1.461000000000000000e+03
1.471242776056866397e+01,1.242000000000000000e+03,1.084000000000000000e+03
1.504811613884882249e+01,1.087000000000000000e+03,1.374000000000000000e+03
1.440992079778190771e+01,1.185000000000000000e+03,1.041000000000000000e+03
1.517067220093740332e+01,1.492000000000000000e+03,1.053000000000000000e+03
1.619117343536040110e+01,1.424000000000000000e+03,1.409000000000000000e+03
1.461763323219864397e+01,1.057000000000000000e+03,1.242000000000000000e+03
1.500046982431552678e+01,1.021000000000000000e+03,1.472000000000000000e+03
1.469312038392286190e+01,1.147000000000000000e+03,1.162000000000000000e+03
1.486503311585663489e+01,1.406000000000000000e+03,1.021000000000000000e+03
1.498421823224102489e+01,1.286000000000000000e+03,1.130000000000000000e+03
1.425375914758870266e+01,1.175000000000000000e+03,1.005000000000000000e+03
1.469385437150949159e+01,1.210000000000000000e+03,1.104000000000000000e+03
1.542059309551397206e+01,1.477000000000000000e+03,1.126000000000000000e+03
1.445182665504901998e+01,1.210000000000000000e+03,1.034000000000000000e+03
1.491919407033726586e+01,1.086000000000000000e+03,1.321000000000000000e+03
1.573086834474778151e+01,1.367000000000000000e+03,1.300000000000000000e+03
1.620940659312580934e+01,1.484000000000000000e+03,1.361000000000000000e+03
1.564210335016841213e+01,1.496000000000000000e+03,1.176000000000000000e+03
1.588930416587630035e+01,1.480000000000000000e+03,1.260000000000000000e+03
1.439933647220321511e+01,1.038000000000000000e+03,1.185000000000000000e+03
1.461442220655225022e+01,1.271000000000000000e+03,1.036000000000000000e+03
1.587445703302254962e+01,1.489000000000000000e+03,1.249000000000000000e+03
1.457774334127055127e+01,1.224000000000000000e+03,1.059000000000000000e+03
1.522613930738648591e+01,1.198000000000000000e+03,1.294000000000000000e+03
1.527606243170042610e+01,1.363000000000000000e+03,1.159000000000000000e+03
1.477598603868454674e+01,1.223000000000000000e+03,1.118000000000000000e+03
1.493763770957992065e+01,1.412000000000000000e+03,1.036000000000000000e+03
1.567163718020047902e+01,1.381000000000000000e+03,1.268000000000000000e+03
1.464508784803757813e+01,1.243000000000000000e+03,1.064000000000000000e+03
1.529487955769879726e+01,1.189000000000000000e+03,1.331000000000000000e+03
1.554260132258236915e+01,1.212000000000000000e+03,1.400000000000000000e+03
1.453597466396445803e+01,1.207000000000000000e+03,1.060000000000000000e+03
1.646070050766783055e+01,1.478000000000000000e+03,1.456000000000000000e+03
1.605887006451444776e+01,1.417000000000000000e+03,1.368000000000000000e+03
1.436807320383598707e+01,1.040000000000000000e+03,1.171000000000000000e+03
1.470731616115533669e+01,1.114000000000000000e+03,1.203000000000000000e+03
1.528091468371568773e+01,1.196000000000000000e+03,1.317000000000000000e+03
1.480927311892177478e+01,1.324000000000000000e+03,1.054000000000000000e+03
1.561427001946175963e+01,1.275000000000000000e+03,1.351000000000000000e+03
1.580735195669408277e+01,1.295000000000000000e+03,1.402000000000000000e+03
1.490979771835074352e+01,1.183000000000000000e+03,1.198000000000000000e+03
1.585377264954541765e+01,1.242000000000000000e+03,1.490000000000000000e+03
1.438175864102333001e+01,1.132000000000000000e+03,1.077000000000000000e+03
1.479052780613212015e+01,1.256000000000000000e+03,1.096000000000000000e+03
1.450642520278309888e+01,1.256000000000000000e+03,1.017000000000000000e+03
1.619300667293419238e+01,1.449000000000000000e+03,1.386000000000000000e+03
1.621818371802439174e+01,1.428000000000000000e+03,1.415000000000000000e+03
1.532702202939029057e+01,1.128000000000000000e+03,1.431000000000000000e+03
1.636979715557748349e+01,1.493000000000000000e+03,1.409000000000000000e+03
1.439693738301893156e+01,1.090000000000000000e+03,1.123000000000000000e+03
1.458220035183254026e+01,1.210000000000000000e+03,1.071000000000000000e+03
1.403056705180752672e+01,1.093000000000000000e+03,1.007000000000000000e+03
1.395960078205134636e+01,1.020000000000000000e+03,1.055000000000000000e+03
1.541945823200711096e+01,1.335000000000000000e+03,1.225000000000000000e+03
1.475499756977783505e+01,1.110000000000000000e+03,1.225000000000000000e+03
1.586491302389079294e+01,1.437000000000000000e+03,1.285000000000000000e+03
1.479324730068076477e+01,1.077000000000000000e+03,1.283000000000000000e+03
1.448160862394768600e+01,1.017000000000000000e+03,1.246000000000000000e+03
1.493182408860776178e+01,1.005000000000000000e+03,1.471000000000000000e+03
1.610473502884765651e+01,1.439000000000000000e+03,1.364000000000000000e+03
1.520228302815124444e+01,1.416000000000000000e+03,1.103000000000000000e+03
1.574873023022987795e+01,1.279000000000000000e+03,1.398000000000000000e+03
1.427606044343798430e+01,1.028000000000000000e+03,1.153000000000000000e+03
1.487783981844413006e+01,1.448000000000000000e+03,1.003000000000000000e+03
1.559861856579723849e+01,1.173000000000000000e+03,1.481000000000000000e+03
1.521350868065665374e+01,1.364000000000000000e+03,1.140000000000000000e+03
1.515726875167372079e+01,1.110000000000000000e+03,1.385000000000000000e+03
1.574872035677645243e+01,1.350000000000000000e+03,1.322000000000000000e+03
1.554064265390147881e+01,1.311000000000000000e+03,1.287000000000000000e+03
1.375658175383797932e+01,1.006000000000000000e+03,1.006000000000000000e+03
1.560962031600842082e+01,1.232000000000000000e+03,1.401000000000000000e+03
1.583178075928787543e+01,1.248000000000000000e+03,1.472000000000000000e+03
1.582915857126640091e+01,1.407000000000000000e+03,1.298000000000000000e+03
1.625978033940096878e+01,1.409000000000000000e+03,1.450000000000000000e+03
1.551040937411166709e+01,1.383000000000000000e+03,1.215000000000000000e+03
1.422404657790864668e+01,1.147000000000000000e+03,1.018000000000000000e+03
1.551574440935431909e+01,1.340000000000000000e+03,1.252000000000000000e+03
1.479650481821052743e+01,1.269000000000000000e+03,1.088000000000000000e+03
1.495382187040414834e+01,1.121000000000000000e+03,1.286000000000000000e+03
1.613590909062118683e+01,1.488000000000000000e+03,1.333000000000000000e+03
1.521535300864309903e+01,1.135000000000000000e+03,1.372000000000000000e+03
1.480331368763211231e+01,1.363000000000000000e+03,1.029000000000000000e+03
