y1(0.5),k1,k2
4.351880396058965816e-02,1.369000000000000000e+03,1.016000000000000000e+03
3.903826390655174006e-02,1.348000000000000000e+03,1.260000000000000000e+03
4.108137776864024399e-02,1.082000000000000000e+03,1.443000000000000000e+03
4.152901651013179984e-02,1.034000000000000000e+03,1.497000000000000000e+03
4.543402793434121734e-02,1.114000000000000000e+03,1.119000000000000000e+03
3.783484764552869778e-02,1.415000000000000000e+03,1.281000000000000000e+03
4.253751620210503154e-02,1.060000000000000000e+03,1.366000000000000000e+03
3.938189983022070961e-02,1.140000000000000000e+03,1.488000000000000000e+03
4.797981960357469711e-02,1.024000000000000000e+03,1.091000000000000000e+03
4.252704690117253133e-02,1.194000000000000000e+03,1.194000000000000000e+03
3.535721585676665502e-02,1.419000000000000000e+03,1.463000000000000000e+03
3.885151724779518229e-02,1.232000000000000000e+03,1.396000000000000000e+03
4.071162401364677996e-02,1.348000000000000000e+03,1.162000000000000000e+03
3.999403166116946573e-02,1.318000000000000000e+03,1.227000000000000000e+03
3.743442437500539566e-02,1.444000000000000000e+03,1.284000000000000000e+03
4.083472231893445215e-02,1.453000000000000000e+03,1.088000000000000000e+03
4.004366158587631397e-02,1.310000000000000000e+03,1.231000000000000000e+03
3.684478831268725441e-02,1.499000000000000000e+03,1.281000000000000000e+03
4.270096300149359148e-02,1.462000000000000000e+03,1.002000000000000000e+03
3.440058197446559107e-02,1.481000000000000000e+03,1.482000000000000000e+03
3.988274993769871934e-02,1.109000000000000000e+03,1.498000000000000000e+03
4.324441927142969044e-02,1.132000000000000000e+03,1.219000000000000000e+03
4.421425677556855421e-02,1.285000000000000000e+03,1.037000000000000000e+03
4.073608677390437582e-02,1.091000000000000000e+03,1.456000000000000000e+03
3.940506140770766441e-02,1.203000000000000000e+03,1.391000000000000000e+03
4.485264666697794111e-02,1.062000000000000000e+03,1.210000000000000000e+03
4.160493293059215614e-02,1.083000000000000000e+03,1.399000000000000000e+03
4.685282007169978835e-02,1.003000000000000000e+03,1.175000000000000000e+03
4.290406901730037942e-02,1.028000000000000000e+03,1.394000000000000000e+03
4.512248773897012399e-02,1.072000000000000000e+03,1.182000000000000000e+03
3.549447630570767842e-02,1.439000000000000000e+03,1.431000000000000000e+03
4.079430450919493967e-02,1.270000000000000000e+03,1.222000000000000000e+03
3.990382177386098128e-02,1.405000000000000000e+03,1.165000000000000000e+03
4.623226891622660151e-02,1.158000000000000000e+03,1.042000000000000000e+03
4.235101511950652153e-02,1.138000000000000000e+03,1.267000000000000000e+03
4.059018525338095595e-02,1.263000000000000000e+03,1.241000000000000000e+03
3.587799082113619226e-02,1.390000000000000000e+03,1.450000000000000000e+03
4.418086084077196829e-02,1.181000000000000000e+03,1.118000000000000000e+03
3.797238166100429940e-02,1.221000000000000000e+03,1.484000000000000000e+03
4.481752700966426528e-02,1.224000000000000000e+03,1.053000000000000000e+03
4.277389474056970953e-02,1.135000000000000000e+03,1.244000000000000000e+03
4.346765623673780332e-02,1.355000000000000000e+03,1.026000000000000000e+03
3.793242983621071540e-02,1.255000000000000000e+03,1.440000000000000000e+03
4.189898601781613663e-02,1.261000000000000000e+03,1.167000000000000000e+03
4.269476557432301533e-02,1.403000000000000000e+03,1.032000000000000000e+03
3.524806565185131801e-02,1.425000000000000000e+03,1.466000000000000000e+03
3.973406780369442837e-02,1.149000000000000000e+03,1.443000000000000000e+03
4.140645539232114952e-02,1.132000000000000000e+03,1.339000000000000000e+03
4.843176277547561748e-02,1.039000000000000000e+03,1.054000000000000000e+03
3.857830481313864746e-02,1.195000000000000000e+03,1.470000000000000000e+03
3.791691138133049255e-02,1.270000000000000000e+03,1.422000000000000000e+03
4.031179518041028143e-02,1.111000000000000000e+03,1.457000000000000000e+03
4.020254982909786390e-02,1.441000000000000000e+03,1.126000000000000000e+03
3.947234549903101686e-02,1.492000000000000000e+03,1.133000000000000000e+03
3.682865901234078782e-02,1.483000000000000000e+03,1.294000000000000000e+03
3.850917146874396901e-02,1.195000000000000000e+03,1.476000000000000000e+03
4.023369145185032303e-02,1.092000000000000000e+03,1.498000000000000000e+03
4.200858382434896621e-02,1.092000000000000000e+03,1.354000000000000000e+03
4.460372810965551604e-02,1.213000000000000000e+03,1.071000000000000000e+03
3.996738141508184711e-02,1.195000000000000000e+03,1.359000000000000000e+03
3.878984736313209614e-02,1.429000000000000000e+03,1.211000000000000000e+03
4.248053816880725808e-02,1.065000000000000000e+03,1.362000000000000000e+03
3.885646945134325903e-02,1.242000000000000000e+03,1.383000000000000000e+03
3.991640648532349123e-02,1.205000000000000000e+03,1.350000000000000000e+03
4.230642004666231026e-02,1.089000000000000000e+03,1.337000000000000000e+03
3.884341513849164096e-02,1.162000000000000000e+03,1.499000000000000000e+03
4.838422980121102890e-02,1.044000000000000000e+03,1.051000000000000000e+03
4.233974293415526668e-02,1.303000000000000000e+03,1.111000000000000000e+03
4.258409092848635530e-02,1.251000000000000000e+03,1.139000000000000000e+03
4.237007409859216978e-02,1.092000000000000000e+03,1.328000000000000000e+03
4.424598525337651578e-02,1.007000000000000000e+03,1.332000000000000000e+03
3.880343974585334643e-02,1.174000000000000000e+03,1.483000000000000000e+03
4.518693400228550316e-02,1.270000000000000000e+03,1.006000000000000000e+03
3.493618503891844640e-02,1.473000000000000000e+03,1.444000000000000000e+03
3.748814693467510117e-02,1.252000000000000000e+03,1.482000000000000000e+03
3.861939569484303114e-02,1.471000000000000000e+03,1.192000000000000000e+03
4.363772572827574747e-02,1.313000000000000000e+03,1.044000000000000000e+03
4.813592252246402109e-02,1.047000000000000000e+03,1.059000000000000000e+03
4.448850692525032485e-02,1.119000000000000000e+03,1.163000000000000000e+03
3.954065498888348351e-02,1.306000000000000000e+03,1.266000000000000000e+03
3.736549005710844418e-02,1.295000000000000000e+03,1.436000000000000000e+03
3.982788074702488246e-02,1.133000000000000000e+03,1.461000000000000000e+03
4.210336428263679320e-02,1.408000000000000000e+03,1.055000000000000000e+03
3.729340815943602006e-02,1.425000000000000000e+03,1.309000000000000000e+03
4.562898752760606580e-02,1.206000000000000000e+03,1.031000000000000000e+03
4.239137998328325330e-02,1.367000000000000000e+03,1.066000000000000000e+03
4.629216492532541027e-02,1.161000000000000000e+03,1.037000000000000000e+03
3.859440759948593036e-02,1.185000000000000000e+03,1.484000000000000000e+03
4.009195516447981722e-02,1.300000000000000000e+03,1.237000000000000000e+03
3.713519009600572962e-02,1.279000000000000000e+03,1.476000000000000000e+03
3.820693437033879925e-02,1.444000000000000000e+03,1.235000000000000000e+03
4.176671285386086840e-02,1.023000000000000000e+03,1.499000000000000000e+03
4.044726807764985332e-02,1.121000000000000000e+03,1.429000000000000000e+03
3.497740381327001796e-02,1.433000000000000000e+03,1.481000000000000000e+03
4.306906559326685591e-02,1.286000000000000000e+03,1.088000000000000000e+03
3.714783649683649214e-02,1.375000000000000000e+03,1.365000000000000000e+03
4.645098423725942810e-02,1.063000000000000000e+03,1.122000000000000000e+03
4.165996778488020164e-02,1.317000000000000000e+03,1.135000000000000000e+03
4.394180097477849711e-02,1.256000000000000000e+03,1.069000000000000000e+03
4.157345808766747808e-02,1.431000000000000000e+03,1.066000000000000000e+03
4.048461467784015416e-02,1.133000000000000000e+03,1.407000000000000000e+03
4.191776196310666169e-02,1.180000000000000000e+03,1.245000000000000000e+03
3.846558301880750180e-02,1.341000000000000000e+03,1.304000000000000000e+03
3.882712266563469183e-02,1.239000000000000000e+03,1.389000000000000000e+03
4.318604533578111748e-02,1.219000000000000000e+03,1.135000000000000000e+03
4.505419750071750634e-02,1.218000000000000000e+03,1.047000000000000000e+03
4.157027049847841771e-02,1.232000000000000000e+03,1.212000000000000000e+03
4.899051095633338848e-02,1.070000000000000000e+03,1.001000000000000000e+03
3.988566832239109905e-02,1.377000000000000000e+03,1.186000000000000000e+03
4.139304762278156469e-02,1.090000000000000000e+03,1.404000000000000000e+03
3.937503773377679095e-02,1.388000000000000000e+03,1.207000000000000000e+03
4.422036362210253480e-02,1.315000000000000000e+03,1.018000000000000000e+03
4.415986652288521330e-02,1.284000000000000000e+03,1.040000000000000000e+03
4.696882912475392607e-02,1.078000000000000000e+03,1.081000000000000000e+03
4.162474449920063047e-02,1.075000000000000000e+03,1.411000000000000000e+03
4.240451031154014727e-02,1.060000000000000000e+03,1.376000000000000000e+03
3.982469138819480503e-02,1.185000000000000000e+03,1.383000000000000000e+03
4.391304416805948130e-02,1.127000000000000000e+03,1.186000000000000000e+03
3.507444869413593042e-02,1.480000000000000000e+03,1.426000000000000000e+03
4.381316006771820287e-02,1.149000000000000000e+03,1.168000000000000000e+03
3.984440839501410259e-02,1.480000000000000000e+03,1.121000000000000000e+03
4.171167652601237563e-02,1.031000000000000000e+03,1.487000000000000000e+03
4.148968364279764787e-02,1.042000000000000000e+03,1.484000000000000000e+03
4.332763864317671493e-02,1.039000000000000000e+03,1.343000000000000000e+03
4.128717288688603382e-02,1.283000000000000000e+03,1.182000000000000000e+03
4.206610325918121868e-02,1.073000000000000000e+03,1.380000000000000000e+03
3.854554742592153360e-02,1.386000000000000000e+03,1.259000000000000000e+03
4.463091345526305070e-02,1.164000000000000000e+03,1.111000000000000000e+03
3.478705489730057193e-02,1.485000000000000000e+03,1.445000000000000000e+03
4.909188804855905974e-02,1.062000000000000000e+03,1.004000000000000000e+03
4.407623468105550946e-02,1.141000000000000000e+03,1.162000000000000000e+03
3.752920866242343001e-02,1.326000000000000000e+03,1.387000000000000000e+03
4.173740975000421460e-02,1.209000000000000000e+03,1.225000000000000000e+03
4.421694054235800891e-02,1.167000000000000000e+03,1.129000000000000000e+03
3.710118174723349427e-02,1.442000000000000000e+03,1.308000000000000000e+03
4.181761827488681554e-02,1.338000000000000000e+03,1.112000000000000000e+03
3.798910463640410573e-02,1.461000000000000000e+03,1.236000000000000000e+03
3.973734709775096630e-02,1.321000000000000000e+03,1.240000000000000000e+03
3.979671858028310111e-02,1.462000000000000000e+03,1.134000000000000000e+03
4.425565116279069761e-02,1.290000000000000000e+03,1.032000000000000000e+03
3.878913294604469791e-02,1.452000000000000000e+03,1.195000000000000000e+03
4.414776085581130494e-02,1.332000000000000000e+03,1.011000000000000000e+03
3.672325322799424585e-02,1.495000000000000000e+03,1.292000000000000000e+03
3.882214191739181974e-02,1.298000000000000000e+03,1.322000000000000000e+03
3.766796134056421552e-02,1.465000000000000000e+03,1.253000000000000000e+03
3.736278429476849738e-02,1.284000000000000000e+03,1.450000000000000000e+03
4.942914434715768579e-02,1.004000000000000000e+03,1.047000000000000000e+03
4.533017077986179616e-02,1.250000000000000000e+03,1.013000000000000000e+03
4.399968498441755166e-02,1.278000000000000000e+03,1.051000000000000000e+03
4.462804809593034355e-02,1.230000000000000000e+03,1.057000000000000000e+03
3.977749901600566296e-02,1.424000000000000000e+03,1.159000000000000000e+03
4.315188432967810572e-02,1.375000000000000000e+03,1.028000000000000000e+03
3.924926355466180905e-02,1.324000000000000000e+03,1.268000000000000000e+03
3.821153692244504130e-02,1.352000000000000000e+03,1.311000000000000000e+03
3.467695045821612976e-02,1.498000000000000000e+03,1.442000000000000000e+03
3.854315222261424367e-02,1.277000000000000000e+03,1.365000000000000000e+03
4.170018320604594597e-02,1.377000000000000000e+03,1.092000000000000000e+03
4.303555321612241580e-02,1.412000000000000000e+03,1.013000000000000000e+03
3.707723409431930295e-02,1.318000000000000000e+03,1.432000000000000000e+03
3.974616679891828513e-02,1.243000000000000000e+03,1.317000000000000000e+03
4.358884060824613077e-02,1.170000000000000000e+03,1.159000000000000000e+03
4.437345618967866723e-02,1.177000000000000000e+03,1.112000000000000000e+03
4.227237134114425476e-02,1.020000000000000000e+03,1.461000000000000000e+03
3.617385509497796081e-02,1.462000000000000000e+03,1.357000000000000000e+03
4.341673775561677440e-02,1.357000000000000000e+03,1.027000000000000000e+03
3.861403817215171980e-02,1.283000000000000000e+03,1.353000000000000000e+03
3.714762160727405615e-02,1.458000000000000000e+03,1.292000000000000000e+03
4.096310207634936557e-02,1.270000000000000000e+03,1.212000000000000000e+03
4.650328881429655753e-02,1.007000000000000000e+03,1.189000000000000000e+03
4.204010426333144868e-02,1.361000000000000000e+03,1.086000000000000000e+03
3.671064147750190132e-02,1.423000000000000000e+03,1.352000000000000000e+03
4.594794710874300359e-02,1.141000000000000000e+03,1.069000000000000000e+03
4.459497978881039881e-02,1.301000000000000000e+03,1.011000000000000000e+03
3.790442272689559938e-02,1.493000000000000000e+03,1.219000000000000000e+03
3.594316030859844024e-02,1.398000000000000000e+03,1.436000000000000000e+03
4.138449480780623246e-02,1.203000000000000000e+03,1.253000000000000000e+03
4.308322712813938971e-02,1.428000000000000000e+03,1.003000000000000000e+03
4.793893095738496757e-02,1.070000000000000000e+03,1.045000000000000000e+03
3.886057539772102415e-02,1.195000000000000000e+03,1.446000000000000000e+03
3.745557552325860101e-02,1.459000000000000000e+03,1.271000000000000000e+03
3.970383672324225011e-02,1.159000000000000000e+03,1.430000000000000000e+03
4.041490183286734761e-02,1.450000000000000000e+03,1.110000000000000000e+03
3.789095291373752172e-02,1.478000000000000000e+03,1.230000000000000000e+03
4.460415782968731035e-02,1.160000000000000000e+03,1.116000000000000000e+03
4.693778107765560204e-02,1.052000000000000000e+03,1.110000000000000000e+03
4.252425513785011713e-02,1.391000000000000000e+03,1.046000000000000000e+03
4.367565917146589566e-02,1.298000000000000000e+03,1.052000000000000000e+03
4.018634254364358838e-02,1.108000000000000000e+03,1.473000000000000000e+03
4.565172581815835767e-02,1.042000000000000000e+03,1.190000000000000000e+03
4.522989630281228080e-02,1.143000000000000000e+03,1.101000000000000000e+03
4.246647956784252442e-02,1.059000000000000000e+03,1.373000000000000000e+03
4.150459992309910029e-02,1.236000000000000000e+03,1.212000000000000000e+03
4.379935457055639247e-02,1.010000000000000000e+03,1.359000000000000000e+03
4.469882224153179373e-02,1.115000000000000000e+03,1.156000000000000000e+03
4.217918197852591616e-02,1.248000000000000000e+03,1.163000000000000000e+03
4.054815821909990570e-02,1.340000000000000000e+03,1.177000000000000000e+03
3.610349591599303076e-02,1.371000000000000000e+03,1.452000000000000000e+03
4.509828907094498573e-02,1.134000000000000000e+03,1.116000000000000000e+03
4.677504881110958190e-02,1.107000000000000000e+03,1.062000000000000000e+03
3.666213349613771377e-02,1.396000000000000000e+03,1.381000000000000000e+03
3.754197906018495734e-02,1.341000000000000000e+03,1.370000000000000000e+03
4.454720005545585032e-02,1.277000000000000000e+03,1.028000000000000000e+03
4.613494921969758106e-02,1.162000000000000000e+03,1.043000000000000000e+03
4.117059651150572347e-02,1.228000000000000000e+03,1.240000000000000000e+03
3.845670106008827749e-02,1.204000000000000000e+03,1.467000000000000000e+03
4.089309749035059671e-02,1.165000000000000000e+03,1.331000000000000000e+03
4.353343519272455386e-02,1.161000000000000000e+03,1.171000000000000000e+03
4.453110604870384737e-02,1.216000000000000000e+03,1.072000000000000000e+03
4.383713747363333219e-02,1.142000000000000000e+03,1.174000000000000000e+03
3.516288194792778488e-02,1.431000000000000000e+03,1.467000000000000000e+03
4.128186798742536356e-02,1.184000000000000000e+03,1.281000000000000000e+03
4.347869112036809036e-02,1.021000000000000000e+03,1.363000000000000000e+03
3.491403497270222089e-02,1.428000000000000000e+03,1.492000000000000000e+03
4.022090237040040761e-02,1.379000000000000000e+03,1.166000000000000000e+03
4.266713530758798473e-02,1.056000000000000000e+03,1.363000000000000000e+03
4.336625352040779369e-02,1.205000000000000000e+03,1.138000000000000000e+03
3.976213517024847210e-02,1.470000000000000000e+03,1.131000000000000000e+03
4.259528724659591981e-02,1.398000000000000000e+03,1.039000000000000000e+03
4.265504929602269985e-02,1.243000000000000000e+03,1.142000000000000000e+03
4.097899673501438633e-02,1.356000000000000000e+03,1.142000000000000000e+03
4.847794453626812217e-02,1.001000000000000000e+03,1.094000000000000000e+03
3.706112022189623351e-02,1.492000000000000000e+03,1.272000000000000000e+03
3.965042978902193205e-02,1.450000000000000000e+03,1.149000000000000000e+03
3.627752938966563589e-02,1.395000000000000000e+03,1.412000000000000000e+03
3.977706663491042960e-02,1.441000000000000000e+03,1.148000000000000000e+03
3.863696733379341774e-02,1.242000000000000000e+03,1.400000000000000000e+03
4.186655159640219337e-02,1.123000000000000000e+03,1.319000000000000000e+03
4.143166117301853163e-02,1.084000000000000000e+03,1.411000000000000000e+03
4.027966530283305646e-02,1.132000000000000000e+03,1.425000000000000000e+03
4.140213436578296657e-02,1.109000000000000000e+03,1.373000000000000000e+03
3.556083636120824232e-02,1.414000000000000000e+03,1.451000000000000000e+03
3.681503493913672320e-02,1.348000000000000000e+03,1.419000000000000000e+03
3.908377502511390517e-02,1.194000000000000000e+03,1.429000000000000000e+03
3.759031973857321351e-02,1.399000000000000000e+03,1.311000000000000000e+03
4.052363577139604656e-02,1.329000000000000000e+03,1.187000000000000000e+03
3.684092093692904746e-02,1.427000000000000000e+03,1.339000000000000000e+03
3.657083683310900779e-02,1.388000000000000000e+03,1.396000000000000000e+03
4.574171784584137035e-02,1.017000000000000000e+03,1.219000000000000000e+03
4.579037872648171470e-02,1.194000000000000000e+03,1.033000000000000000e+03
3.818822113300594789e-02,1.409000000000000000e+03,1.263000000000000000e+03
4.925086114325387399e-02,1.015000000000000000e+03,1.043000000000000000e+03
4.494127769612166201e-02,1.165000000000000000e+03,1.095000000000000000e+03
4.379989767536683620e-02,1.019000000000000000e+03,1.343000000000000000e+03
4.088732313105997163e-02,1.080000000000000000e+03,1.463000000000000000e+03
4.170215216226327154e-02,1.221000000000000000e+03,1.215000000000000000e+03
