y1(0.5),k1,k2
4.332078907245296567e-02,1.182000000000000000e+03,1.198000000000000000e+03
4.505279114976936533e-02,1.171000000000000000e+03,1.116000000000000000e+03
3.839807129976346295e-02,1.319000000000000000e+03,1.378000000000000000e+03
3.908944252127557334e-02,1.265000000000000000e+03,1.387000000000000000e+03
3.516660689056472916e-02,1.470000000000000000e+03,1.483000000000000000e+03
4.241370668298811292e-02,1.129000000000000000e+03,1.318000000000000000e+03
4.417336631915136369e-02,1.351000000000000000e+03,1.026000000000000000e+03
4.128985777172159560e-02,1.340000000000000000e+03,1.172000000000000000e+03
4.727844485818715609e-02,1.043000000000000000e+03,1.136000000000000000e+03
3.941790431762468017e-02,1.343000000000000000e+03,1.282000000000000000e+03
4.549878641844566640e-02,1.229000000000000000e+03,1.048000000000000000e+03
4.451309626084110765e-02,1.358000000000000000e+03,1.008000000000000000e+03
4.259742248958400812e-02,1.081000000000000000e+03,1.376000000000000000e+03
4.641807844932845095e-02,1.092000000000000000e+03,1.125000000000000000e+03
3.857244713180963541e-02,1.238000000000000000e+03,1.464000000000000000e+03
4.314412497701270582e-02,1.059000000000000000e+03,1.371000000000000000e+03
4.596544512240189478e-02,1.226000000000000000e+03,1.030000000000000000e+03
4.662415971265831266e-02,1.204000000000000000e+03,1.018000000000000000e+03
4.380411844126177318e-02,1.054000000000000000e+03,1.331000000000000000e+03
4.190458223258377440e-02,1.258000000000000000e+03,1.206000000000000000e+03
4.436683334453776079e-02,1.382000000000000000e+03,1.001000000000000000e+03
3.971879309237950906e-02,1.202000000000000000e+03,1.419000000000000000e+03
3.877790267382615758e-02,1.271000000000000000e+03,1.404000000000000000e+03
4.071190631206090399e-02,1.132000000000000000e+03,1.443000000000000000e+03
4.352543289762025175e-02,1.014000000000000000e+03,1.423000000000000000e+03
3.826492906069560440e-02,1.417000000000000000e+03,1.294000000000000000e+03
3.949345093043863525e-02,1.464000000000000000e+03,1.184000000000000000e+03
3.839838187096902139e-02,1.441000000000000000e+03,1.266000000000000000e+03
4.379649443372556766e-02,1.198000000000000000e+03,1.156000000000000000e+03
4.382805807674261533e-02,1.293000000000000000e+03,1.078000000000000000e+03
3.777276420450111777e-02,1.364000000000000000e+03,1.378000000000000000e+03
4.118459102099219366e-02,1.197000000000000000e+03,1.316000000000000000e+03
3.917143121857947358e-02,1.369000000000000000e+03,1.275000000000000000e+03
4.448000824412489534e-02,1.259000000000000000e+03,1.072000000000000000e+03
3.947144574764165775e-02,1.318000000000000000e+03,1.302000000000000000e+03
4.239223008385744479e-02,1.325000000000000000e+03,1.125000000000000000e+03
3.971370306704776615e-02,1.175000000000000000e+03,1.459000000000000000e+03
3.822513846486167571e-02,1.398000000000000000e+03,1.313000000000000000e+03
4.382769490400530848e-02,1.048000000000000000e+03,1.339000000000000000e+03
4.172541427946208775e-02,1.065000000000000000e+03,1.475000000000000000e+03
4.115956530938361807e-02,1.141000000000000000e+03,1.393000000000000000e+03
4.331844648983900620e-02,1.263000000000000000e+03,1.125000000000000000e+03
4.068987389391513776e-02,1.260000000000000000e+03,1.279000000000000000e+03
4.721321520474850569e-02,1.045000000000000000e+03,1.137000000000000000e+03
4.277398616181605356e-02,1.325000000000000000e+03,1.106000000000000000e+03
4.084629379126785559e-02,1.107000000000000000e+03,1.474000000000000000e+03
4.528671633498222715e-02,1.183000000000000000e+03,1.094000000000000000e+03
4.218196142251375014e-02,1.350000000000000000e+03,1.118000000000000000e+03
4.328668710011308179e-02,1.228000000000000000e+03,1.156000000000000000e+03
4.024327122153208841e-02,1.280000000000000000e+03,1.288000000000000000e+03
4.232341039842005964e-02,1.294000000000000000e+03,1.152000000000000000e+03
4.126594210453155692e-02,1.199000000000000000e+03,1.308000000000000000e+03
4.240737569288507286e-02,1.032000000000000000e+03,1.481000000000000000e+03
3.775843102681408076e-02,1.290000000000000000e+03,1.464000000000000000e+03
4.064261088919412374e-02,1.163000000000000000e+03,1.401000000000000000e+03
3.990147677143645460e-02,1.209000000000000000e+03,1.395000000000000000e+03
4.283517396580453773e-02,1.070000000000000000e+03,1.376000000000000000e+03
3.753516516027825822e-02,1.343000000000000000e+03,1.419000000000000000e+03
4.568888427545247238e-02,1.230000000000000000e+03,1.039000000000000000e+03
3.762449571045217017e-02,1.437000000000000000e+03,1.321000000000000000e+03
4.085692042299680221e-02,1.211000000000000000e+03,1.322000000000000000e+03
3.981776034195006614e-02,1.461000000000000000e+03,1.168000000000000000e+03
3.759372931200857110e-02,1.436000000000000000e+03,1.324000000000000000e+03
4.627429519774697159e-02,1.097000000000000000e+03,1.127000000000000000e+03
4.018039377116108118e-02,1.190000000000000000e+03,1.399000000000000000e+03
4.581461766733482127e-02,1.169000000000000000e+03,1.081000000000000000e+03
4.324341308914542853e-02,1.384000000000000000e+03,1.047000000000000000e+03
3.893756826732994863e-02,1.454000000000000000e+03,1.223000000000000000e+03
4.067760143225569031e-02,1.155000000000000000e+03,1.410000000000000000e+03
4.162257791415539115e-02,1.340000000000000000e+03,1.154000000000000000e+03
4.079545179669242377e-02,1.371000000000000000e+03,1.176000000000000000e+03
